fdntext,fldimp,undrfld,advknow,pubpol,comimp,undrwr,undrsoc,orgimp,impsust
Arlington 14S,5.806451612903226,5.5161290322580649,4.666666666666667,4.291666666666667,6.5151515151515156,6.580645161290323,6.0606060606060606,6.2727272727272725,5.870967741935484
Boylston 14S,5.774193548387097,5.828125,5.3018867924528301,5.2222222222222223,5.4745762711864403,5.3508771929824563,5.7424242424242422,5.9428571428571431,5.192982456140351
Clarendon 14S,5.7589743589743589,5.6969696969696972,5.0304878048780486,4.682758620689655,5.7875647668393784,5.7823834196891193,5.8200000000000003,6.1764705882352944,5.401041666666667
Dartmouth 14S,5.2093023255813957,5.3636363636363633,4.6190476190476186,4.1351351351351351,6.2045454545454541,6.0,5.9285714285714288,5.7333333333333334,5.0952380952380949
Kenmore 14S,5.0,4.5686274509803919,3.7272727272727271,3.3947368421052633,5.7307692307692308,5.7547169811320753,4.9423076923076925,5.7884615384615383,4.7999999999999998
Marlborough 14S,5.8506493506493502,5.7392739273927393,5.6202090592334493,4.98744769874477,4.7705627705627709,5.1703056768558948,5.5036231884057969,6.1496815286624207,5.4523809523809526
Peabody 14S,5.8918918918918921,5.6756756756756754,5.2222222222222223,4.5151515151515156,5.8947368421052628,5.9189189189189193,5.6842105263157894,6.1315789473684212,5.2972972972972974
Roxbury 14S,6.0727272727272723,6.1851851851851851,5.4468085106382977,4.9500000000000002,6.2884615384615383,6.3773584905660377,6.1818181818181817,6.0727272727272723,5.8200000000000003
Tremont 14S,5.7894736842105265,5.7190476190476192,5.1640211640211637,4.875,5.7445652173913047,5.6956521739130439,5.8894009216589858,6.253393665158371,5.3467336683417086
